time,open,high,low,close,volume,closeTime,assetVolume,trades,buyBaseVolume,ignored
1657648800000 ,1076.33000000 ,1076.88000000 ,1033.46000000 ,1041.40000000 ,144517.44010000 ,1657655999999 ,151995650.97247100 ,167321 ,67972.33480000 ,71451420.31074100 
1657656000000 ,1041.41000000 ,1051.67000000 ,1037.55000000 ,1040.81000000 ,68625.92770000 ,1657663199999 ,71685080.88307300 ,61246 ,33827.74620000 ,35327022.17179000 
1657663200000 ,1040.80000000 ,1049.40000000 ,1035.30000000 ,1038.58000000 ,116052.86900000 ,1657670399999 ,121016410.54767800 ,61392 ,54845.42080000 ,57194881.76347800 
1657670400000 ,1038.58000000 ,1048.98000000 ,1035.58000000 ,1047.04000000 ,146323.23750000 ,1657677599999 ,152753271.94979000 ,65882 ,73436.54010000 ,76673357.72912100 
1657677600000 ,1047.04000000 ,1059.62000000 ,1047.04000000 ,1052.34000000 ,100743.86950000 ,1657684799999 ,106185841.02473400 ,53971 ,50700.69620000 ,53431904.98297600 
1657684800000 ,1052.34000000 ,1063.40000000 ,1049.11000000 ,1058.68000000 ,87943.47390000 ,1657691999999 ,92875074.13137800 ,44161 ,45129.02670000 ,47666169.83931000 
1657692000000 ,1058.69000000 ,1072.48000000 ,1055.38000000 ,1069.57000000 ,102511.83840000 ,1657699199999 ,108924649.17956600 ,58161 ,52114.98060000 ,55367324.77159500 
1657699200000 ,1069.57000000 ,1079.54000000 ,1065.70000000 ,1073.83000000 ,121011.82730000 ,1657706399999 ,129957597.22909800 ,152792 ,61012.87600000 ,65517965.72327000 
1657706400000 ,1073.84000000 ,1084.46000000 ,1068.15000000 ,1082.03000000 ,101281.60750000 ,1657713599999 ,108844916.94291100 ,64531 ,53731.90720000 ,57759406.07773200 
1657713600000 ,1082.02000000 ,1103.78000000 ,1006.32000000 ,1041.73000000 ,624338.81180000 ,1657720799999 ,649912885.52988100 ,377787 ,305749.39980000 ,318390524.27558300 
1657720800000 ,1041.73000000 ,1074.79000000 ,1032.80000000 ,1060.21000000 ,248408.55700000 ,1657727999999 ,262098879.48006700 ,173887 ,128332.87810000 ,135387095.64416100 
1657728000000 ,1060.20000000 ,1098.96000000 ,1049.21000000 ,1094.34000000 ,196340.71190000 ,1657735199999 ,211962861.41856500 ,161078 ,103162.38870000 ,111385459.05243400 
1657735200000 ,1094.34000000 ,1094.82000000 ,1075.04000000 ,1076.61000000 ,113774.19650000 ,1657742399999 ,123525903.75627500 ,130418 ,54531.50560000 ,59202864.77717800 
1657742400000 ,1076.61000000 ,1091.93000000 ,1074.39000000 ,1090.36000000 ,57349.59250000 ,1657749599999 ,61973134.84253800 ,52167 ,30248.87350000 ,32687894.61102900 
1657749600000 ,1090.36000000 ,1119.18000000 ,1083.01000000 ,1115.00000000 ,135578.10610000 ,1657756799999 ,149657332.27327500 ,89121 ,72455.37980000 ,79951279.82944300 
1657756800000 ,1115.01000000 ,1127.19000000 ,1109.47000000 ,1113.41000000 ,111273.59090000 ,1657763999999 ,124162408.01499800 ,92746 ,55359.57590000 ,61779915.99787800 
1657764000000 ,1113.40000000 ,1119.35000000 ,1109.00000000 ,1112.71000000 ,89373.92250000 ,1657771199999 ,99500351.38801300 ,48574 ,45520.55350000 ,50675289.68425100 
1657771200000 ,1112.72000000 ,1114.90000000 ,1103.17000000 ,1106.15000000 ,65917.92920000 ,1657778399999 ,73090441.21057300 ,58128 ,31932.29950000 ,35412535.66091600 
1657778400000 ,1106.15000000 ,1107.39000000 ,1093.30000000 ,1097.58000000 ,95553.29100000 ,1657785599999 ,105066069.89552800 ,73077 ,44826.85880000 ,49287239.25675300 
1657785600000 ,1097.57000000 ,1100.71000000 ,1077.12000000 ,1089.04000000 ,93194.02730000 ,1657792799999 ,101356088.96976800 ,65672 ,43865.83680000 ,47710705.39842600 
1657792800000 ,1089.05000000 ,1092.23000000 ,1072.11000000 ,1081.27000000 ,103177.80820000 ,1657799999999 ,111754835.21978700 ,127500 ,50187.23460000 ,54360911.77356500 
1657800000000 ,1081.26000000 ,1091.25000000 ,1072.80000000 ,1084.65000000 ,153089.91070000 ,1657807199999 ,165773616.07624100 ,155366 ,75884.96150000 ,82168267.98280400 
1657807200000 ,1084.66000000 ,1147.97000000 ,1078.41000000 ,1140.95000000 ,250647.41320000 ,1657814399999 ,279142637.05788400 ,241095 ,133425.19580000 ,148649800.97729300 
1657814400000 ,1140.96000000 ,1199.95000000 ,1133.14000000 ,1195.78000000 ,300522.95480000 ,1657821599999 ,348248039.38646300 ,352993 ,160842.00540000 ,186547852.67982900 
1657821600000 ,1195.78000000 ,1214.65000000 ,1187.35000000 ,1194.04000000 ,189738.71260000 ,1657828799999 ,227216451.19504100 ,230535 ,97281.79570000 ,116526043.16362900 
1657828800000 ,1194.05000000 ,1201.35000000 ,1180.60000000 ,1182.11000000 ,80486.62230000 ,1657835999999 ,95909022.55112200 ,112238 ,42723.52070000 ,50905207.17430800 
1657836000000 ,1182.10000000 ,1196.99000000 ,1180.61000000 ,1193.42000000 ,72125.74350000 ,1657843199999 ,85709121.76746400 ,53497 ,37817.42650000 ,44943674.67215600 
1657843200000 ,1193.42000000 ,1212.46000000 ,1181.05000000 ,1209.54000000 ,100002.73720000 ,1657850399999 ,119211495.00446900 ,62953 ,51395.65080000 ,61286670.56663100 
1657850400000 ,1209.55000000 ,1222.92000000 ,1190.99000000 ,1199.92000000 ,136250.20610000 ,1657857599999 ,164590608.62620000 ,91454 ,64063.27520000 ,77354270.54282800 
1657857600000 ,1199.93000000 ,1210.81000000 ,1189.79000000 ,1207.73000000 ,110600.83890000 ,1657864799999 ,132619031.29519600 ,67397 ,53414.53720000 ,64042042.38220100 
1657864800000 ,1207.73000000 ,1217.96000000 ,1193.58000000 ,1211.85000000 ,92106.67120000 ,1657871999999 ,111191932.29659400 ,77997 ,46552.63430000 ,56208259.29901600 
1657872000000 ,1211.86000000 ,1230.00000000 ,1203.28000000 ,1218.79000000 ,143154.09800000 ,1657879199999 ,174321068.55623800 ,103525 ,73229.14850000 ,89189794.63678300 
1657879200000 ,1218.80000000 ,1228.50000000 ,1210.88000000 ,1211.10000000 ,87815.47320000 ,1657886399999 ,107044339.17211200 ,67479 ,41974.00000000 ,51167776.69709400 
1657886400000 ,1211.10000000 ,1236.00000000 ,1207.50000000 ,1221.74000000 ,189061.89550000 ,1657893599999 ,231179755.68195900 ,135578 ,94446.72750000 ,115506880.71313600 
1657893600000 ,1221.75000000 ,1237.58000000 ,1221.74000000 ,1222.13000000 ,123665.61050000 ,1657900799999 ,152054636.93708400 ,110994 ,58921.01540000 ,72446323.04294000 
1657900800000 ,1222.13000000 ,1235.29000000 ,1203.72000000 ,1221.58000000 ,127556.48190000 ,1657907999999 ,155497321.84322800 ,120809 ,57214.55310000 ,69758497.19320600 
1657908000000 ,1221.59000000 ,1270.42000000 ,1220.84000000 ,1266.33000000 ,164254.89940000 ,1657915199999 ,205460536.19515900 ,148370 ,94557.41670000 ,118332372.63893600 
1657915200000 ,1266.33000000 ,1287.82000000 ,1242.30000000 ,1256.57000000 ,133866.39010000 ,1657922399999 ,169382246.83210800 ,125400 ,69708.45490000 ,88244794.77369000 
1657922400000 ,1256.57000000 ,1259.20000000 ,1227.42000000 ,1231.25000000 ,57701.95640000 ,1657929599999 ,71505756.34417400 ,58676 ,24919.79390000 ,30870989.47931600 
1657929600000 ,1231.25000000 ,1235.24000000 ,1209.42000000 ,1220.17000000 ,71145.81610000 ,1657936799999 ,86803533.81292100 ,68257 ,34211.46770000 ,41729739.93270500 
1657936800000 ,1220.18000000 ,1224.72000000 ,1209.51000000 ,1222.16000000 ,41006.61740000 ,1657943999999 ,49948089.31442700 ,47086 ,21660.43970000 ,26384364.73480000 
1657944000000 ,1222.16000000 ,1223.15000000 ,1204.00000000 ,1206.76000000 ,82008.87450000 ,1657951199999 ,99505350.31350000 ,52665 ,49696.30690000 ,60254771.30993200 
1657951200000 ,1206.76000000 ,1210.53000000 ,1191.23000000 ,1197.30000000 ,69633.70250000 ,1657958399999 ,83598985.93871100 ,71560 ,31600.73590000 ,37944132.59511800 
1657958400000 ,1197.30000000 ,1206.55000000 ,1194.35000000 ,1197.20000000 ,38034.76380000 ,1657965599999 ,45614751.85852600 ,38299 ,18658.43280000 ,22376004.43554500 
1657965600000 ,1197.19000000 ,1205.35000000 ,1193.22000000 ,1197.92000000 ,36628.52660000 ,1657972799999 ,43945589.16748100 ,39123 ,16623.85100000 ,19943387.53475800 
